日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-09,300919,31.28,31.56,31.79,31.19,39173,124871700.0,1.92,1.25,0.39,0.43
2025-06-10,300919,31.64,31.39,31.93,30.94,58383,185102982.0,3.14,-0.54,-0.17,0.64
2025-06-11,300919,31.38,31.65,32.13,31.38,48875,156913129.0,2.39,0.83,0.26,0.54
2025-06-12,300919,31.65,31.87,31.98,31.34,40687,130039892.0,2.02,0.7,0.22,0.45
2025-06-13,300919,31.68,31.46,31.91,31.29,42182,134109124.0,1.95,-1.29,-0.41,0.46
2025-06-16,300919,31.29,31.26,31.48,31.08,31793,100217663.0,1.27,-0.64,-0.2,0.35
2025-06-17,300919,31.34,31.7,31.89,31.17,45804,145855184.0,2.3,1.41,0.44,0.5
2025-06-18,300919,31.59,31.38,31.63,31.04,34411,108559732.0,1.86,-1.01,-0.32,0.38
2025-06-19,300919,31.22,30.92,31.82,30.85,46802,147952575.0,3.09,-1.47,-0.46,0.51
2025-06-20,300919,30.8,30.8,31.59,30.79,52116,163933105.0,2.59,-0.39,-0.12,0.57
2025-06-23,300919,30.75,31.2,31.39,30.45,46679,146558642.0,3.05,1.3,0.4,0.51
2025-06-24,300919,31.37,32.61,32.69,31.36,105463,343364282.0,4.26,4.52,1.41,1.16
2025-06-25,300919,32.81,33.1,33.26,32.63,96095,319304588.0,1.93,1.5,0.49,1.06
2025-06-26,300919,32.91,32.74,33.61,32.7,84909,283509898.0,2.75,-1.09,-0.36,0.93
2025-06-27,300919,32.92,32.63,33.52,32.61,63155,209871576.0,2.78,-0.34,-0.11,0.69
2025-06-30,300919,32.87,32.61,32.93,32.41,52477,172385770.0,1.59,-0.06,-0.02,0.58
2025-07-01,300919,32.63,32.28,32.67,31.93,55103,178810617.0,2.27,-1.01,-0.33,0.61
2025-07-02,300919,32.26,32.68,32.68,31.96,57715,188524364.0,2.23,1.24,0.4,0.63
2025-07-03,300919,32.75,33.09,33.28,32.34,71492,236791648.0,2.88,1.25,0.41,0.79
2025-07-04,300919,32.91,32.42,32.99,32.36,59974,196804677.0,1.9,-2.02,-0.67,0.66
2025-07-07,300919,32.41,32.23,32.49,32.12,27960,90943165.0,1.14,-0.59,-0.19,0.31
2025-07-08,300919,32.21,32.98,33.33,32.13,74443,246710946.0,3.72,2.33,0.75,0.82
2025-07-09,300919,32.96,32.79,33.22,32.69,49196,163583063.0,1.61,-0.58,-0.19,0.54
2025-07-10,300919,32.73,32.88,32.99,32.52,52251,172447675.0,1.43,0.27,0.09,0.57
2025-07-11,300919,32.95,33.28,33.88,32.74,93914,316358666.0,3.47,1.22,0.4,1.03
2025-07-14,300919,33.44,33.09,33.7,32.99,73872,247765976.0,2.13,-0.57,-0.19,0.81
2025-07-15,300919,33.09,33.22,34.08,32.85,95296,320097120.0,3.72,0.39,0.13,1.04
