日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-29,300919,35.81,37.14,37.93,35.78,275813,1029576859.0,5.99,3.51,1.26,3.02
2025-09-01,300919,37.14,37.63,37.78,36.77,212277,797163568.0,2.72,1.32,0.49,2.33
2025-09-02,300919,37.62,37.11,38.32,36.64,192606,724993276.0,4.46,-1.38,-0.52,2.11
2025-09-03,300919,37.29,38.49,38.73,36.96,297693,1135658669.0,4.77,3.72,1.38,3.26
2025-09-04,300919,38.39,42.83,43.96,38.32,580218,2464062145.0,14.65,11.28,4.34,6.36
2025-09-05,300919,41.77,45.59,45.68,41.2,527361,2345091169.0,10.46,6.44,2.76,5.78
2025-09-08,300919,44.73,44.46,46.21,42.92,371231,1652546529.0,7.22,-2.48,-1.13,4.07
2025-09-09,300919,43.69,44.78,45.36,43.14,250529,1114773854.0,4.99,0.72,0.32,2.75
2025-09-10,300919,43.53,42.41,43.71,41.81,245883,1055548830.0,4.24,-5.29,-2.37,2.69
2025-09-11,300919,42.92,42.61,43.24,42.03,165787,711032503.0,2.85,0.47,0.2,1.82
2025-09-12,300919,42.61,42.91,43.47,42.17,188037,811200005.0,3.05,0.7,0.3,2.06
2025-09-15,300919,42.8,43.23,45.25,42.8,238980,1062413931.0,5.71,0.75,0.32,2.62
2025-09-16,300919,43.21,42.5,43.51,41.52,198509,844833886.0,4.6,-1.69,-0.73,2.18
2025-09-17,300919,42.36,43.57,43.92,41.85,167975,727414188.0,4.87,2.52,1.07,1.84
2025-09-18,300919,43.43,43.06,44.69,42.57,227574,996055613.0,4.87,-1.17,-0.51,2.49
2025-09-19,300919,42.79,43.73,45.18,42.79,200120,887239097.0,5.55,1.56,0.67,2.19
2025-09-22,300919,44.06,43.17,45.02,42.63,139510,607567335.0,5.47,-1.28,-0.56,1.53
2025-09-23,300919,42.93,44.33,44.33,41.73,211057,915179904.0,6.02,2.69,1.16,2.31
2025-09-24,300919,43.74,46.98,48.23,43.51,322869,1493218457.0,10.65,5.98,2.65,3.54
2025-09-25,300919,47.03,47.41,47.92,46.13,256242,1209704514.0,3.81,0.92,0.43,2.81
2025-09-26,300919,47.03,47.25,50.39,46.76,266430,1300314879.0,7.66,-0.34,-0.16,2.92
2025-09-29,300919,48.51,48.98,49.43,47.53,215951,1052845622.0,4.02,3.66,1.73,2.37
2025-09-30,300919,50.08,49.63,51.31,49.11,234952,1182713963.0,4.49,1.33,0.65,2.57
2025-10-09,300919,50.53,50.73,52.13,49.93,196722,1007905035.0,4.43,2.22,1.1,2.16
2025-10-10,300919,51.2,47.78,51.5,46.95,221436,1068500473.0,8.97,-5.82,-2.95,2.43
2025-10-13,300919,44.56,47.31,47.69,44.56,153889,716824004.0,6.55,-0.98,-0.47,1.69
2025-10-14,300919,48.29,45.06,48.49,45.02,160542,746916934.0,7.33,-4.76,-2.25,1.76
2025-10-15,300919,45.39,45.8,45.9,44.7,112931,512199944.0,2.66,1.64,0.74,1.24
2025-10-16,300919,45.49,45.52,46.87,45.2,97740,446946995.0,3.65,-0.61,-0.28,1.07
2025-10-17,300919,45.02,43.08,46.03,43.0,144632,636324359.0,6.66,-5.36,-2.44,1.59
